type,problem,answer,time
d,765,42,48203
d,766,43,47834
d,767,43,47838
d,768,46,48471
d,769,47,46416
d,770,48,48375
d,771,45,49183
d,772,46,50497
d,773,47,43660
d,774,48,47779
d,775,47,46334
d,776,48,51502
d,777,45,43784
d,778,46,50817
d,779,47,49675
d,780,48,47572
d,781,49,50564
d,782,48,54956
d,783,49,57408
d,784,46,49978
d,785,47,54224
d,786,48,47069
d,787,49,48997
d,788,46,44340
d,789,47,51202
d,790,48,50299
d,791,45,49296
d,792,46,47408
d,793,47,49926
d,794,46,48122
d,795,47,52310
d,796,48,47302
d,797,49,50873
d,798,46,47953
d,799,47,49891
d,800,46,49778
d,801,47,48597
d,802,48,52234
d,803,49,49561
d,804,50,63033
d,805,51,62393
d,806,45,57149
d,807,46,55489
d,808,46,55517
d,809,47,48180
d,810,48,51311
d,811,51,48789
d,812,52,51827
d,813,46,48821
d,814,46,49263
d,815,47,50839
d,816,48,50607
d,817,47,48593
d,818,52,50357
d,819,53,50151
d,820,47,50874
d,821,51,46898
d,822,52,49412
d,823,46,47974
d,824,47,52990
d,825,53,53457
d,826,54,51545
d,827,51,53040
d,828,52,53104
d,829,46,48336
d,830,47,49071
d,831,47,53704
d,832,48,47717
d,833,49,52857
d,834,52,52372
d,835,53,53266
d,836,47,51845
d,837,47,52253
d,838,52,50311
d,839,53,52349
d,840,47,53954
d,841,51,52687
d,842,52,55006
d,843,46,53940
d,844,52,54182
d,845,53,53933
d,846,47,53645
d,847,48,54174
d,848,52,49031
d,849,53,56801
d,850,52,49187
d,851,53,52586
d,852,47,54319
d,853,48,54006
d,854,48,51346
d,855,53,53423
d,856,51,55496
d,857,52,50610
d,858,52,56547
d,859,53,52306
d,860,47,53950
d,861,53,52718
d,862,54,56970
d,863,52,52874
d,864,52,55480
d,865,53,55775
d,866,47,49430
d,867,53,55916
d,868,54,52642
d,869,48,53516
d,870,53,53975
d,871,53,53360
d,872,54,55400
d,873,52,50910
d,874,53,54532
d,875,53,56911
d,876,54,59547
d,877,54,55738
d,878,52,52832
d,879,52,55296
d,880,53,51709
d,881,53,54663
d,882,54,58523
d,883,48,50476
d,884,54,60035
d,885,53,58072
d,886,53,56201
d,887,53,55471
d,888,54,53809
d,889,48,56106
d,890,53,55593
d,891,54,59024
d,892,54,57739
d,893,52,56754
d,894,53,59177
d,895,53,51213
d,896,53,57038
d,897,54,47721
d,898,54,43781
d,899,55,43367
d,900,53,43521
d,901,53,43397
d,902,53,44663
d,903,54,52278
d,904,54,57687
d,905,55,51421
d,906,49,58638
d,907,54,50275
d,908,52,52701
d,909,53,51396
d,910,53,50685
d,911,54,54352
d,912,54,55763
d,913,54,56521
d,914,55,63713
d,915,53,69593
d,916,53,66840
d,917,54,59816
d,918,54,58210
d,919,54,61288
d,920,55,59418
d,921,55,55168
d,922,54,59002
d,923,54,55502
d,924,54,58462
d,925,53,62185
d,926,54,56150
d,927,54,58846
d,928,55,60858
d,929,55,57299
d,930,53,55052
d,931,53,56947
d,932,54,60512
d,933,54,56665
d,934,55,56162
d,935,55,61686
d,936,55,56426
d,937,54,60011
d,938,54,54137
d,939,54,57075
d,940,55,61331
d,941,55,59766
d,942,54,58323
d,943,55,55747
d,944,55,60237
d,945,53,61642
d,946,54,59510
d,947,54,60856
d,948,54,60755
d,949,55,58868
d,950,55,62655
d,951,56,54618
d,952,57,57433
d,953,58,62903
d,954,59,58275
d,955,60,61224
d,956,61,65172
d,957,62,54941
d,958,63,58482
d,959,64,58510
d,960,65,61479
d,961,66,64375
d,962,54,63010
d,963,55,63869
d,964,63,66855
d,965,64,63123
d,966,65,61151
d,967,66,63744
d,968,57,64692
d,969,58,67241
d,970,59,61607
d,971,64,58034
d,972,65,58164
d,973,66,58645
d,974,63,59923
d,975,64,63672
d,976,65,63898
d,977,66,61878
d,978,65,61128
d,979,66,66704
d,980,63,65799
d,981,64,63295
d,982,65,62846
d,983,66,63018
d,984,67,60289
d,985,58,61037
d,986,59,55082
d,987,64,57617
d,988,57,48811
d,989,58,47936
d,990,59,48398
d,991,64,48112
d,992,65,48696
d,993,66,51634
d,994,63,48390
d,995,64,48279
d,996,65,48812
d,997,64,48829
d,998,65,48237
d,999,66,48496
d,1000,67,48418
d,1001,64,48872
d,1002,65,48577
d,1003,57,54694
d,1004,58,52573
d,1005,58,58154
d,1006,59,54025
d,1007,60,51822
d,1008,65,60512
d,1009,63,57556
d,1010,64,63089
d,1011,64,65365
d,1012,65,69106
d,1013,66,69567
d,1014,65,71047
d,1015,66,70099
d,1016,64,64195
d,1017,64,63918
d,1018,65,70476
d,1019,66,68774
d,1020,58,155375
d,1021,59,146058
d,1022,59,165886
d,1023,65,80786
d,1024,65,79259
d,1025,58,134439
d,1026,64,79383
d,1027,65,56688
d,1028,65,55190
d,1029,66,60884
d,1030,66,64496
d,1031,64,105242
d,1032,64,62840
d,1033,65,68011
d,1034,65,64924
d,1035,66,88942
d,1036,67,74654
d,1037,59,77280
d,1038,65,68177
d,1039,65,73771
d,1040,58,65794
d,1041,59,57054
d,1042,59,57099
d,1043,65,59372
d,1044,66,67035
d,1045,66,91378
d,1046,64,71801
d,1047,65,59617
d,1048,65,56577
d,1049,65,61607
d,1050,66,66993
d,1051,66,59308
d,1052,67,70534
d,1053,65,62161
d,1054,65,64718
d,1055,58,60990
d,1056,59,71736
d,1057,59,75665
d,1058,60,74519
d,1059,60,75690
d,1060,66,76506
d,1061,64,59456
d,1062,65,63421
d,1063,65,58361
d,1064,66,56263
d,1065,66,61339
d,1066,66,65465
d,1067,67,61530
d,1068,65,55037
d,1069,65,54659
d,1070,66,58099
d,1071,66,57547
d,1072,59,59355
d,1073,60,58748
d,1074,60,69566
d,1075,66,61587
d,1076,66,56798
d,1077,59,56815
d,1078,65,53571
d,1079,66,54485
d,1080,66,52816
d,1081,67,53384
d,1082,67,53120
d,1083,65,53689
d,1084,65,53266
d,1085,66,54102
d,1086,66,55193
d,1087,67,54022
d,1088,67,54297
d,1089,60,58403
d,1090,66,58891
d,1091,66,57027
d,1092,59,55460
d,1093,60,59511
d,1094,60,57397
d,1095,66,57523
d,1096,67,56020
d,1097,67,57326
d,1098,65,53320
d,1099,66,55825
d,1100,66,53956
d,1101,66,56952
d,1102,67,53686
d,1103,67,58412
d,1104,68,59712
d,1105,69,72687
d,1106,70,56595
d,1107,71,57901
d,1108,72,59214
d,1109,60,60069
d,1110,61,56924
d,1111,69,58395
d,1112,70,57161
d,1113,71,62435
d,1114,72,59437
d,1115,66,58546
d,1116,67,59896
d,1117,67,61740
d,1118,70,58946
d,1119,71,58815
d,1120,72,58368
d,1121,69,59659
d,1122,70,65429
d,1123,71,59213
d,1124,72,59863
d,1125,71,58795
d,1126,72,59270
d,1127,69,59585
d,1128,70,60358
d,1129,71,59997
d,1130,72,59443
d,1131,73,59074
d,1132,72,61425
d,1133,73,62590
