type,problem,answer,time
d,471,27,30580
d,472,28,25060
d,473,22,26560
d,474,23,31010
d,475,29,26040
d,476,30,22990
d,477,27,22580
d,478,28,26370
d,479,22,29130
d,480,23,22390
d,481,23,24940
d,482,24,36760
d,483,25,29880
d,484,28,23500
d,485,29,29240
d,486,23,36970
d,487,23,24900
d,488,28,24250
d,489,29,31060
d,490,23,28590
d,491,27,29100
d,492,28,24450
d,493,22,32130
d,494,28,29050
d,495,29,26110
d,496,23,27830
d,497,24,26630
d,498,28,30830
d,499,29,25680
d,500,28,34580
d,501,29,28840
d,502,23,24840
d,503,24,24770
d,504,24,23080
d,505,29,27680
d,506,27,64990
d,507,28,62840
d,508,28,73680
d,509,29,25550
d,510,23,34080
d,511,29,26420
d,512,30,29100
d,513,28,24780
d,514,28,28130
d,515,29,26360
d,516,23,32990
d,517,29,30110
d,518,30,35460
d,519,24,27330
d,520,29,25180
d,521,29,30640
d,522,30,27450
d,523,28,28320
d,524,29,29880
d,525,29,25510
d,526,30,28860
d,527,30,49480
d,528,28,31350
d,529,28,29970
d,530,29,26990
d,531,29,27930
d,532,30,28510
d,533,24,27130
d,534,30,31520
d,535,29,30600
d,536,29,40410
d,537,29,27050
d,538,30,25110
d,539,24,31140
d,540,29,27770
d,541,30,31950
d,542,30,30070
d,543,28,26660
d,544,29,33910
d,545,29,28590
d,546,29,34190
d,547,30,30140
d,548,30,31010
d,549,31,27480
d,550,29,26260
d,551,29,29190
d,552,29,30080
d,553,30,31890
d,554,30,28040
d,555,31,21070
d,556,25,21870
d,557,30,22270
d,558,28,31280
d,559,29,34060
d,560,29,32290
d,561,30,28870
d,562,30,53480
d,563,30,28140
d,564,31,26550
d,565,29,38490
d,566,29,37030
d,567,30,31420
d,568,30,27460
d,569,30,26070
d,570,31,25670
d,571,31,26510
d,572,30,26270
d,573,30,32250
d,574,30,33800
d,575,29,32790
d,576,30,37400
d,577,30,37690
d,578,31,36850
d,579,31,29870
d,580,29,31560
d,581,29,32610
d,582,30,28850
d,583,30,30650
d,584,31,28880
d,585,31,32870
d,586,31,28760
d,587,30,27090
d,588,30,27070
d,589,30,28260
d,590,31,27080
d,591,31,27360
d,592,30,27300
d,593,31,29360
d,594,31,38050
d,595,29,34580
d,596,30,34500
d,597,30,34160
d,598,30,34400
d,599,31,40870
d,600,31,37190
d,601,32,27570
d,602,33,27780
d,603,34,50170
d,604,35,34610
d,605,36,31320
d,606,37,32050
d,607,38,33790
d,608,39,36640
d,609,40,30500
d,610,41,35250
d,611,42,35040
d,612,30,30920
d,613,31,30530
d,614,39,29330
d,615,40,38330
d,616,41,34670
d,617,42,35610
d,618,33,31440
d,619,34,32690
d,620,35,33450
d,621,40,32910
d,622,41,36520
d,623,42,31620
d,624,39,31720
d,625,40,38870
d,626,41,38260
d,627,42,35200
d,628,41,46330
d,629,42,32070
d,630,39,36170
d,631,40,35600
d,632,41,34350
d,633,42,33540
d,634,43,28650
d,635,34,37320
d,636,35,31850
d,637,40,31900
d,638,33,32290
d,639,34,34090
d,640,35,31570
d,641,40,28870
d,642,41,36840
d,643,42,31800
d,644,39,35270
d,645,40,32990
d,646,41,28800
d,647,40,38220
d,648,41,35890
d,649,42,28360
d,650,43,25160
d,651,40,24790
d,652,41,24890
d,653,33,25970
d,654,34,33780
d,655,34,34710
d,656,35,46980
d,657,36,37680
d,658,41,37300
d,659,39,30380
d,660,40,34250
d,661,40,35650
d,662,41,29160
d,663,42,76900
d,664,41,49640
d,665,42,38010
d,666,40,37690
d,667,40,49850
d,668,41,39280
d,669,42,42240
d,670,34,33800
d,671,35,35040
d,672,35,36090
d,673,41,34530
d,674,41,34510
d,675,34,37280
d,676,40,32850
d,677,41,33470
d,678,41,68770
d,679,42,38680
d,680,42,39670
d,681,40,50300
d,682,40,51180
d,683,41,44850
d,684,41,40700
d,685,42,30820
d,686,43,48020
d,687,35,38580
d,688,41,32000
d,689,41,32400
d,690,34,39590
d,691,35,36270
d,692,35,36510
d,693,41,38740
d,694,42,42850
d,695,42,40500
d,696,40,37520
d,697,41,38030
d,698,41,35850
d,699,41,42140
d,700,42,46150
d,701,42,33450
d,702,43,40300
d,703,41,43870
d,704,41,38880
d,705,34,33810
d,706,35,35980
d,707,35,38000
d,708,36,36780
d,709,36,34550
d,710,42,40250
d,711,40,44090
d,712,41,33630
d,713,41,38820
d,714,42,38530
d,715,42,36260
d,716,42,38210
d,717,43,37030
d,718,41,53530
d,719,41,39310
d,720,42,41780
d,721,42,39080
d,722,35,54070
d,723,36,44150
d,724,36,33950
d,725,42,45430
d,726,42,37170
d,727,35,43400
d,728,41,32310
d,729,42,42210
d,730,42,33650
d,731,43,39990
d,732,43,40140
d,733,41,37110
d,734,41,37790
d,735,42,39220
d,736,42,36700
d,737,43,43440
d,738,43,38940
d,739,36,39510
d,740,42,38280
d,741,42,39290
d,742,35,38630
d,743,36,44130
d,744,36,39460
d,745,42,42040
d,746,43,40830
d,747,43,38180
d,748,41,37050
d,749,42,78660
d,750,42,43120
d,751,42,41950
d,752,43,54740
d,753,43,49510
d,754,44,38720
d,755,45,35100
d,756,46,45050
d,757,47,41570
d,758,48,39370
d,759,36,43130
d,760,37,41830
d,761,45,46310
d,762,46,36910
d,763,47,37270
d,764,48,42340
d,765,42,50510
d,766,43,37560
d,767,43,68340
d,768,46,52210
d,769,47,93760
d,770,48,49790
d,771,45,41860
d,772,46,38090
d,773,47,43380
d,774,48,47030
d,775,47,44310
d,776,48,45250
d,777,45,40290
d,778,46,45030
d,779,47,40940
d,780,48,52920
d,781,49,39550
d,782,48,41250
d,783,49,47810
d,784,46,41370
d,785,47,43840
d,786,48,40950
d,787,49,43240
d,788,46,48250
d,789,47,42440
d,790,48,48060
d,791,45,43120
d,792,46,54800
d,793,47,44780
d,794,46,40910
d,795,47,49840
d,796,48,42220
d,797,49,44580
d,798,46,37590
d,799,47,36890
d,800,46,41630
d,801,47,39390
d,802,48,38900
d,803,49,39720
d,804,50,34290
d,805,51,41380
d,806,45,31760
d,807,46,30930
d,808,46,31080
d,809,47,34910
d,810,48,41690
d,811,51,55980
d,812,52,42120
d,813,46,39580
d,814,46,36290
d,815,47,46850
d,816,48,50310
d,817,47,39250
