type,problem,answer,time,,type,problem,answer,time,,,,,,,,,,type,problem,answer,time,,type,problem,answer,time
d,167,5,5,,d,167,5,5,,,,,,,,,,m,167,5,7,,,,,
d,168,6,5,,d,168,6,5,,,,,,,,,,m,168,6,7,,,,,
d,169,6,5,,d,169,6,5,,,,,,,,,,m,169,6,7,,,,,
d,170,5,5,,d,170,5,5,,,,,,,,,,m,170,5,7,,,,,
d,171,5,5,,d,171,5,5,,,,,,,,,,m,171,5,7,,,,,
d,172,5,5,,d,172,5,5,,,,,,,,,,m,172,5,7,,,,,
d,173,4,5,,d,173,4,5,,,,,,,,,,m,173,4,7,,,,,
d,174,5,5,,d,174,5,5,,,,,,,,,,m,174,5,7,,,,,
d,175,5,5,,d,175,5,5,,,,,,,,,,m,175,5,7,,,,,
d,176,6,5,,d,176,6,5,,,,,,,,,,m,176,6,8,,,,,
d,177,6,5,,d,177,6,5,,,,,,,,,,m,177,6,8,,,,,
d,178,4,5,,d,178,4,5,,,,,,,,,,m,178,4,8,,,,,
d,179,4,5,,d,179,4,5,,,,,,,,,,m,179,4,8,,,,,
d,180,5,5,,d,180,5,5,,,,,,,,,,m,180,5,7,,,,,
d,181,5,5,,d,181,5,5,,,,,,,,,,m,181,5,8,,,,,
d,182,6,5,,d,182,6,5,,,,,,,,,,m,182,6,8,,,,,
d,183,6,5,,d,183,6,5,,,,,,,,,,m,183,6,8,,,,,
d,184,6,5,,d,184,6,5,,,,,,,,,,m,184,6,8,,,,,
d,185,5,5,,d,185,5,5,,,,,,,,,,m,185,5,8,,,,,
d,186,5,5,,d,186,5,5,,,,,,,,,,m,186,5,8,,,,,
d,187,5,5,,d,187,5,5,,,,,,,,,,m,187,5,8,,,,,
d,188,6,5,,d,188,6,5,,,,,,,,,,m,188,6,8,,,,,
d,189,6,5,,d,189,6,5,,,,,,,,,,m,189,6,18,,,,,
d,190,5,5,,d,190,5,5,,,,,,,,,,m,190,5,8,,,,,
d,191,6,5,,d,191,6,5,,,,,,,,,,m,191,6,8,,,,,
d,192,6,5,,d,192,6,5,,,,,,,,,,m,192,6,8,,,,,
d,193,4,5,,d,193,4,5,,,,,,,,,,m,193,4,8,,,,,
d,194,5,5,,d,194,5,5,,,,,,,,,,m,194,5,8,,,,,
d,195,5,6,,d,195,5,6,,,,,,,,,,m,195,5,8,,,,,
d,196,5,6,,d,196,5,6,,,,,,,,,,m,196,5,8,,,,,
d,197,6,5,,d,197,6,5,,,,,,,,,,m,197,6,8,,,,,
d,198,6,6,,d,198,6,6,,,,,,,,,,m,198,6,19,,,,,
d,199,7,5,,d,199,7,5,,,,,,,,,,m,199,7,8,,,,,
d,200,5,6,,d,200,5,6,,,,,,,,,,m,200,5,8,,,,,
d,201,5,5,,d,201,5,5,,,,,,,,,,m,201,5,8,,,,,
d,202,5,6,,d,202,5,6,,,,,,,,,,m,202,5,8,,,,,
d,203,6,6,,d,203,6,6,,,,,,,,,,m,203,6,8,,,,,
d,204,6,6,,d,204,6,6,,,,,,,,,,m,204,6,8,,,,,
d,205,7,6,,d,205,7,6,,,,,,,,,,m,205,7,8,,,,,
d,206,7,6,,d,206,7,6,,,,,,,,,,m,206,7,17,,,,,
d,207,6,6,,d,207,6,6,,,,,,,,,,m,207,6,18,,,,,
d,208,4,6,,d,208,4,6,,,,,,,,,,m,208,4,9,,,,,
d,209,5,6,,d,209,5,6,,,,,,,,,,m,209,5,8,,,,,
d,210,5,14,,d,210,5,14,,,,,,,,,,m,210,5,8,,,,,
d,211,6,6,,d,211,6,6,,,,,,,,,,m,211,6,9,,,,,
d,212,6,6,,d,212,6,6,,,,,,,,,,m,212,6,9,,,,,
d,213,6,6,,d,213,6,6,,,,,,,,,,m,213,6,9,,,,,
d,214,7,6,,d,214,7,6,,,,,,,,,,m,214,7,9,,,,,
d,215,5,6,,d,215,5,6,,,,,,,,,,m,215,5,9,,,,,
d,216,5,6,,d,216,5,6,,,,,,,,,,m,216,5,9,,,,,
d,217,6,6,,d,217,6,6,,,,,,,,,,m,217,6,9,,,,,
d,218,6,6,,d,218,6,6,,,,,,,,,,m,218,6,9,,,,,
d,219,6,6,,d,219,6,6,,,,,,,,,,m,219,6,9,,,,,
d,220,7,6,,d,220,7,6,,,,,,,,,,m,220,7,9,,,,,
d,221,7,6,,d,221,7,6,,,,,,,,,,m,221,7,10,,,,,
d,222,6,6,,d,222,6,6,,,,,,,,,,m,222,6,9,,,,,
d,223,6,6,,d,223,6,6,,,,,,,,,,m,223,6,9,,,,,
d,224,6,7,,d,224,6,7,,,,,,,,,,m,224,6,10,,,,,
d,225,5,7,,d,225,5,7,,,,,,,,,,m,225,5,10,,,,,
d,226,6,6,,d,226,6,6,,,,,,,,,,m,226,6,10,,,,,
d,227,6,7,,d,227,6,7,,,,,,,,,,m,227,6,10,,,,,
d,228,7,7,,d,228,7,7,,,,,,,,,,m,228,7,12,,,,,
d,229,7,7,,d,229,7,7,,,,,,,,,,m,229,7,10,,,,,
d,230,5,7,,d,230,5,7,,,,,,,,,,m,230,5,10,,,,,
d,231,5,7,,d,231,5,7,,,,,,,,,,m,231,5,10,,,,,
d,232,6,6,,d,232,6,6,,,,,,,,,,m,232,6,10,,,,,
d,233,6,6,,d,233,6,6,,,,,,,,,,m,233,6,10,,,,,
d,234,7,7,,d,234,7,7,,,,,,,,,,m,234,7,10,,,,,
d,235,7,7,,d,235,7,7,,,,,,,,,,m,235,7,10,,,,,
d,236,7,6,,d,236,7,6,,,,,,,,,,m,236,7,10,,,,,
d,237,6,7,,d,237,6,7,,,,,,,,,,m,237,6,10,,,,,
d,238,6,7,,d,238,6,7,,,,,,,,,,m,238,6,10,,,,,
d,239,6,7,,d,239,6,7,,,,,,,,,,m,239,6,10,,,,,
d,240,7,7,,d,240,7,7,,,,,,,,,,m,240,7,10,,,,,
d,241,7,7,,d,241,7,7,,,,,,,,,,m,241,7,10,,,,,
d,242,6,7,,d,242,6,7,,,,,,,,,,m,242,6,10,,,,,
d,243,7,7,,d,243,7,7,,,,,,,,,,m,243,7,10,,,,,
d,244,7,7,,d,244,7,7,,,,,,,,,,m,244,7,10,,,,,
d,245,5,8,,d,245,5,8,,,,,,,,,,m,245,5,10,,,,,
d,246,6,7,,d,246,6,7,,,,,,,,,,m,246,6,10,,,,,
d,247,6,7,,d,247,6,7,,,,,,,,,,m,247,6,11,,,,,
d,248,6,7,,d,248,6,7,,,,,,,,,,m,248,6,11,,,,,
d,249,7,7,,d,249,7,7,,,,,,,,,,m,249,7,10,,,,,
d,250,7,8,,d,250,7,8,,,,,,,,,,m,250,7,10,,,,,
d,251,8,7,,d,251,8,7,,,,,,,,,,m,251,8,11,,,,,
d,252,9,8,,d,252,9,8,,,,,,,,,,,,,,,,,,
d,253,10,8,,d,253,10,8,,,,,,,,,,,,,,,,,,
d,254,11,7,,d,254,11,7,,,,,,,,,,,,,,,,,,
d,255,12,16,,d,255,12,16,,,,,,,,,,,,,,,,,,
d,256,13,8,,d,256,13,8,,,,,,,,,,,,,,,,,,
d,257,14,8,,d,257,14,8,,,,,,,,,,,,,,,,,,
d,258,15,8,,d,258,15,8,,,,,,,,,,,,,,,,,,
d,259,16,8,,d,259,16,8,,,,,,,,,,,,,,,,,,
d,260,17,8,,d,260,17,8,,,,,,,,,,,,,,,,,,
d,261,18,8,,d,261,18,8,,,,,,,,,,,,,,,,,,
d,262,6,8,,d,262,6,8,,,,,,,,,,,,,,,,,,
d,263,7,8,,d,263,7,8,,,,,,,,,,,,,,,,,,
d,264,15,8,,d,264,15,8,,,,,,,,,,,,,,,,,,
d,265,16,8,,d,265,16,8,,,,,,,,,,,,,,,,,,
d,266,17,8,,d,266,17,8,,,,,,,,,,,,,,,,,,
d,267,18,8,,d,267,18,8,,,,,,,,,,,,,,,,,,
d,268,9,8,,d,268,9,8,,,,,,,,,,,,,,,,,,
d,269,10,8,,d,269,10,8,,,,,,,,,,,,,,,,,,
d,270,11,8,,d,270,11,8,,,,,,,,,,,,,,,,,,
d,271,16,8,,d,271,16,8,,,,,,,,,,,,,,,,,,
d,272,17,8,,d,272,17,8,,,,,,,,,,,,,,,,,,
d,273,18,8,,d,273,18,8,,,,,,,,,,,,,,,,,,
d,274,15,8,,d,274,15,8,,,,,,,,,,,,,,,,,,
d,275,16,8,,d,275,16,8,,,,,,,,,,,,,,,,,,
d,276,17,8,,d,276,17,8,,,,,,,,,,,,,,,,,,
d,277,18,8,,d,277,18,8,,,,,,,,,,,,,,,,,,
d,278,17,8,,d,278,17,8,,,,,,,,,,,,,,,,,,
d,279,18,8,,d,279,18,8,,,,,,,,,,,,,,,,,,
d,280,15,8,,d,280,15,8,,,,,,,,,,,,,,,,,,
d,281,16,8,,d,281,16,8,,,,,,,,,,,,,,,,,,
d,282,17,8,,d,282,17,8,,,,,,,,,,,,,,,,,,
d,283,18,9,,d,283,18,9,,,,,,,,,,,,,,,,,,
d,284,19,9,,d,284,19,9,,,,,,,,,,,,,,,,,,
d,285,10,8,,d,285,10,8,,,,,,,,,,,,,,,,,,
d,286,11,8,,d,286,11,8,,,,,,,,,,,,,,,,,,
d,287,16,9,,d,287,16,9,,,,,,,,,,,,,,,,,,
d,288,9,9,,d,288,9,9,,,,,,,,,,,,,,,,,,
